Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
07/09/2015	7500	7500	0	0	0	0	1243	15001	0	270
08/09/2015	7500	7500	7500	7500	831075000	10	1150	15000	110810	270
09/09/2015	7500	7500	0	0	0	0	1210	20442	0	270
10/09/2015	7500	7550	7550	7500	7587650	6	2295	20002	1005	271.8
11/09/2015	7550	7600	7600	7500	38037500	5	2330	15446	5005	273.6
14/09/2015	7600	7600	7600	7500	3381500	3	2790	15002	445	273.6
15/09/2015	7600	7590	7600	7500	15321000	27	2177	270	2018	273.24
16/09/2015	7590	7580	7600	7550	4623000	7	1910	2	610	272.88
17/09/2015	7580	7570	7580	7550	20529050	6	550	670	2713	272.52
18/09/2015	7570	7600	7600	7600	8892000	4	11453	15000	1170	273.6
21/09/2015	7600	7600	0	0	0	0	1583	15000	0	273.6
	7600	7600	7600	7600	16112000	7	305	22630	2120	273.6
23/09/2015	7600	7520	7600	7500	4339000	12	8	23340	577	270.72
25/09/2015	7520	7520	0	0	0	0	8	7950	0	270.72
28/09/2015	7520	7500	7500	7500	1275000	4	7	32780	170	270
29/09/2015	7500	7500	7500	7500	10875000	22	1110	26330	1450	270
30/09/2015	7500	7400	7400	7400	1480000	2	910	26330	200	266.4
01/10/2015	7400	7400	7400	7400	7858800	6	6	25710	1062	266.4
02/10/2015	7400	7400	7400	7360	3032000	3	666	25790	410	266.4
05/09/2015	7400	7340	7400	7310	15156100	8	665	25760	2066	264.24
06/10/2015	7340	7340	0	0	0	0	1089	2060	0	264.24
07/10/2015	7340	7340	7340	7340	3229600	1	435	25320	440	264.24
08/10/2015	7340	7340	0	0	0	0	435	24260	0	264.24
09/10/2015	7340	7310	7340	7300	3873510	9	15	24300	530	263.16
12/10/2015	7310	7300	7300	7300	313900	4	192	24511	43	262.8
13/10/2015	7300	7370	7390	7340	5973400	2	5300	23701	810	265.32
15/10/2015	7370	7250	7300	7200	14000000	5	1250	338	1930	261
16/10/2015	7250	7260	7300	7200	8855700	8	2820	12	1219	261.36
19/10/2015	7260	7300	7300	7200	2335000	4	3410	8	320	262.8
20/10/2015	7300	7300	7310	7300	7814520	13	2605	6	1070	262.8
21/10/2015	7300	7300	7310	7300	7819710	7	4826	6	1071	262.8
22/10/2015	7300	7300	7300	7300	292000	1	4826	6	40	262.8
23/10/2015	7300	7300	7300	7300	6438600	5	2374	6	882	262.8
26/10/2015	7300	7300	0	0	0	0	4694	6	0	262.8
27/10/2015	7300	7310	7310	7310	3801200	3	6746	0	520	263.16
