Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
41810	2660	2660	2660	2640	1964880	4	400	44800	742	95.76
41813	0	0	0	0	0	0	400	44800	0	95.76
41814	2640	2640	2640	2640	1135200	4	0	36000	430	95.04
41815	2640	2640	2640	2640	528000	1	0	0	200	95.04
41816	2640	2640	2640	2640	1056000	1	0	25400	400	95.04
41817	2640	2640	2640	2640	343200	5	0	530	130	95.04
41820	2640	2640	2640	2640	792000	2	0	2200	300	95.04
41821	0	0	0	0	0	0	0	0	0	95.04
41821	0	0	0	0	0	0	0	0	0	95.04
41823	0	0	0	0	0	0	0	0	0	95.04
41824	0	0	0	0	0	0	5210	0	0	95.04
41828	0	0	0	0	0	0	10210	0	0	95.04
41829	2640	2640	2640	2640	1599840	6	0	0	606	95.04
41830	2640	2640	2640	2640	25212000	7	0	0	9550	95.04
41831	2640	2640	2640	2640	4343760	5	0	0	1759	95.04
41834	2640	"2,640 2,640"	2640	528000	1	0	0	200	95.04	60
41835	0	0	0	0	0	0	0	0	0	95.04
41836	2640	2640	2660	2640	1222600	3	0	0	460	95.04
41837	0	0	0	0	0	0	0	0	0	95.04
41838	0	0	0	0	0	0	0	0	0	95.04
41841	0	0	0	0	0	0	0	0	0	95.04
41842	2660	2660	2660	2660	2375380	8	0	0	893	95.76
41843	0	0	0	0	0	0	0	0	0	95.76
41844	2700	2700	2700	2660	3014000	2	0	0	1120	95.2
41845	0	0	0	0	0	0	0	0	0	95.2
41848	2700	2640	2700	2640	3468480	7	0	0	1307	95.04
41851	2640	2640	2640	2640	211200	2	0	0	80	95.04
41852	2640	2640	2640	2640	1166880	2	0	0	442	95.04
41855	2640	2640	2640	2640	528000	1	0	0	200	95.04
41856	0	0	0	0	0	0	0	0	0	95.04
41857	0	0	0	0	0	0	0	0	0	95.04
41858	2640	2660	2660	2640	6368700	6	0	0	2395	95.76
41862	0	0	0	0	0	0	0	0	0	95.76
41863	2660	2660	2660	2660	26600	1	0	0	10	95.76
41864	2660	2690	2700	2660	3424540	12	0	0	1275	96.84
41865	0	0	0	0	0	0	0	0	0	96.84
41866	2700	2700	2700	2700	2351700	6	0	0	871	97.2
41869	0	0	0	0	0	0	0	0	0	97.2
41870	2720	2720	2720	2710	12331470	9	0	0	4537	97.92
41871	2800	2800	2800	2800	140000	1	0	0	50	100.8
41872	2800	2800	2800	2800	10483200	6	0	0	3744	100.8
41873	0	0	0	0	0	0	0	0	0	100.8
41876	2800	2800	2800	2800	140000	1	0	0	50	100.8
41877	0	0	0	0	0	0	0	0	0	101.52
41878	2860	2860	2860	2860	2628340	7	0	0	919	102.96
41879	0	0	0	0	0	0	0	0	0	102.96
41880	2880	2880	2880	2880	1843200	2	0	0	640	103.68
41883	0	0	0	0	0	0	0	0	0	103.68
41884	2880	2920	2920	2880	2601640	6	0	0	891	105.12
41885	3000	3000	3000	3000	1761000	4	0	0	587	108
41886	0	0	0	0	0	0	0	0	0	108
41887	0	0	0	0	0	0	0	0	0	108
41890	3050	3050	3050	3050	1342000	1	0	0	440	109.8
41891	0	0	0	0	0	0	0	0	0	109.8
41892	0	0	0	0	0	0	0	0	0	109.8
41893	3100	3140	3150	3100	9273100	3	0	0	2951	113.04
41894	0	0	0	0	0	0	61020	0	0	113.04
41897	0	0	0	0	0	0	61020	0	0	113.04
41898	3500	3500	3500	3500	35000000	3	10000	0	10000	126
41899	3700	3700	3700	3700	8880000	2	20980	2600	2400	133.2
41900	3700	3700	3700	3700	9668100	5	22610	0	2613	133.2
41901	3720	3720	3720	3720	2418000	3	26070	0	650	133.92
41904	0	0	0	0	0	0	27290	0	0	133.92
41905	3800	3760	3800	3740	1881400	4	21660	0	500	135.36
41906	0	0	0	0	0	0	4400	0	0	135.36
41907	3800	3800	3800	3760	1751760	4	13880	6	461	136.8
41908	0	0	0	0	0	0	9860	6	0	136.8
41911	3800	3900	4000	3800	176942000	13	0	26	45380	140.4
41912	0	0	0	0	0	0	1990	26	0	140.4
41913	4000	4150	4200	3760	36921500	13	29710	0	8906	149.4
41914	4300	4290	4300	4210	9528000	2	30090	0	2220	154.44
41915	4300	4300	4300	4300	2924000	1	31810	0	680	154.8
41918	0	0	0	0	0	0	33740	0	0	154.8
